"","time","long","lat","id","xdata","ydata","utm.zone"
"1.1797",19791960,-115.582500328237,31.0468327783525,269,635263.437500013,3435655.24999992,"11N"
"1.1798",19792200,-115.519500257082,31.0241662039075,269,641309.250000015,3433221.24999991,"11N"
"1.1799",19792260,-115.472833223388,31.0518331476534,269,645721.81250002,3436348.2499999,"11N"
"1.1800",19793460,-115.204333417826,31.0768339111551,269,671300.812500046,3439502.99999983,"11N"
"1.1801",19793520,-115.39766663777,31.1154990980614,269,652793.125000025,3443506.49999989,"11N"
"1.1802",19793580,-115.745333539868,31.3496669189054,269,619343.187500006,3469034.74999993,"11N"
"1.1803",19793640,-115.719833484442,31.3069993951668,269,621823.875000005,3464333.24999993,"11N"
"1.1804",19794960,-115.471333331166,31.037500280547,269,645886.812500017,3434761.4999999,"11N"
"1.1805",19795020,-115.471166951968,31.0376674652529,269,645902.437500018,3434780.2499999,"11N"
"1.1806",19795080,-115.471166903965,31.0378343653377,269,645902.187500019,3434798.7499999,"11N"
"1.1807",19795140,-115.47099995352,31.0378323869751,269,645918.125000017,3434798.7499999,"11N"
"1.1808",19795200,-115.471333283466,31.0376671806455,269,645886.562500019,3434779.9999999,"11N"
"1.1809",19795260,-115.470999905212,31.0379992870462,269,645917.875000019,3434817.2499999,"11N"
"1.1810",19795320,-115.470833573154,31.0379995712046,269,645933.750000018,3434817.4999999,"11N"
"1.1811",19795380,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1812",19795440,-115.471666412591,31.0383342189723,269,645853.750000019,3434853.4999999,"11N"
"1.1813",19795500,-115.471500174823,31.0380007037838,269,645870.125000019,3434816.7499999,"11N"
"1.1814",19796040,-115.471500127375,31.0381676038796,269,645869.875000019,3434835.24999991,"11N"
"1.1815",19796100,-115.470833573154,31.0379995712046,269,645933.750000018,3434817.4999999,"11N"
"1.1816",19796160,-115.470000199003,31.037166465379,269,646014.56250002,3434726.2499999,"11N"
"1.1817",19796220,-115.481499661606,31.0326674277903,269,644923.812500019,3434212.4999999,"11N"
"1.1818",19796280,-115.580000260078,31.0578322347311,269,635486.437500012,3436877.49999992,"11N"
"1.1819",19796340,-115.573166607076,31.0493326831778,269,636150.625000011,3435943.74999992,"11N"
"1.1820",19796400,-115.539666667709,31.3563340820896,269,638898.125000013,3470014.99999991,"11N"
"1.1821",19796460,-115.681333001285,31.3813337431063,269,625389.312500007,3472615.99999992,"11N"
"1.1822",19796520,-115.865333179998,31.2646672609537,269,608025.125000005,3459489.49999994,"11N"
"1.1823",19796580,-115.575833592456,31.0494997376611,269,635895.875000014,3435958.99999992,"11N"
"1.1824",19796640,-115.431999887258,31.0898336206143,269,649559.062500021,3440614.7499999,"11N"
"1.1825",19796700,-115.45899986583,31.0285010809531,269,647077.812500019,3433780.2499999,"11N"
"1.1826",19796760,-115.471833026361,31.0373325330319,269,645839.375000017,3434742.2499999,"11N"
"1.1827",19796820,-115.469333142565,31.0386674250124,269,646075.937500018,3434893.4999999,"11N"
"1.1828",19796880,-115.472333006784,31.0384999924715,269,645789.875000019,3434870.99999991,"11N"
"1.1829",19796940,-115.472166993569,31.0398332319429,269,645803.687500018,3435018.9999999,"11N"
"1.1830",19797480,-115.472166766391,31.0381664780646,269,645806.250000019,3434834.2499999,"11N"
"1.1831",19797540,-115.470666586397,31.037999847388,269,645949.687500019,3434817.7499999,"11N"
"1.1832",19797780,-115.573333404636,31.0294999896327,269,636162.937500013,3433745.24999992,"11N"
"1.1833",19798080,-115.589499718311,31.0216662572583,269,634630.875000012,3432857.24999992,"11N"
"1.1834",19799100,-115.57116671992,31.0504991738041,269,636339.812500012,3436075.49999992,"11N"
"1.1835",19799160,-115.471166903965,31.0378343653377,269,645902.187500019,3434798.7499999,"11N"
"1.1836",19799220,-115.471166951968,31.0376674652529,269,645902.437500018,3434780.2499999,"11N"
"1.1837",19799280,-115.493666427656,31.0348331515872,269,643759.250000017,3434436.74999991,"11N"
"1.1838",19799340,-115.58516679171,31.0323323246557,269,635029.437500013,3434044.74999992,"11N"
"1.1839",19799400,-115.589333089886,31.0213328811887,269,634647.250000011,3432820.49999992,"11N"
"1.1840",19799460,-115.589166447505,31.0203341393167,269,634664.562500012,3432709.99999992,"11N"
"1.1841",19799520,-115.589333568954,31.0205006157567,269,634648.375000012,3432728.24999992,"11N"
"1.1842",19799580,-115.589333568954,31.0205006157567,269,634648.375000012,3432728.24999992,"11N"
"1.1843",19799640,-115.589333568954,31.0205006157567,269,634648.375000012,3432728.24999992,"11N"
"1.1844",19799700,-115.589499876652,31.0205001778519,269,634632.500000012,3432727.99999992,"11N"
"1.1845",19799760,-115.589333568954,31.0205006157567,269,634648.375000012,3432728.24999992,"11N"
"1.1846",19799820,-115.58916660664,31.0205010462915,269,634664.312500013,3432728.49999992,"11N"
"1.1847",19800360,-115.589499876652,31.0205001778519,269,634632.500000012,3432727.99999992,"11N"
"1.1848",19800420,-115.589333409528,31.0203337087733,269,634648.625000011,3432709.74999992,"11N"
"1.1849",19800480,-115.58916660664,31.0205010462915,269,634664.312500013,3432728.49999992,"11N"
"1.1850",19800540,-115.589333568954,31.0205006157567,269,634648.375000012,3432728.24999992,"11N"
"1.1851",19800840,-115.589333089886,31.0213328811887,269,634647.250000011,3432820.49999992,"11N"
"1.1852",19800900,-115.589333089886,31.0213328811887,269,634647.250000011,3432820.49999992,"11N"
"1.1853",19800960,-115.589333585147,31.021165981381,269,634647.437500012,3432801.99999992,"11N"
"1.1854",19801020,-115.589333585147,31.021165981381,269,634647.437500012,3432801.99999992,"11N"
"1.1855",19801080,-115.589166447505,31.0203341393167,269,634664.562500012,3432709.99999992,"11N"
"1.1856",19801140,-115.58916660664,31.0205010462915,269,634664.312500013,3432728.49999992,"11N"
"1.1857",19801200,-115.589666522749,31.0214989193827,269,634615.187500012,3432838.49999992,"11N"
"1.1858",19801260,-115.589166939814,31.0215002257843,269,634662.875000011,3432839.24999992,"11N"
"1.1859",19801800,-115.589333585147,31.021165981381,269,634647.437500012,3432801.99999992,"11N"
"1.1860",19801860,-115.589333089886,31.0213328811887,269,634647.250000011,3432820.49999992,"11N"
